video_id,video_title,question_id,question,answer,difficulty
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q001,ما الذي ورد في النص في الفقرة رقم 1؟,نُص بني آدم، ونُص أخطبوط في التاريخ.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q002,ما الذي ورد في النص في الفقرة رقم 2؟,وشوية رُز صيادية،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q003,ما الذي ورد في النص في الفقرة رقم 3؟,هيبقى عندك قدرات خارقة،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q004,ما الذي ورد في النص في الفقرة رقم 4؟,يعملّه كام دلوقتي؟,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q005,ما الذي ورد في النص في الفقرة رقم 5؟,وقوم اسلقلنا الأخطبوط اللي جوا،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q006,ما الذي ورد في النص في الفقرة رقم 6؟,السلام عليكم ورحمة الله وبركاته،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q007,ما الذي ورد في النص في الفقرة رقم 7؟,"من برنامج ""الدحّيح""!",Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q008,ما الذي ورد في النص في الفقرة رقم 8؟,حيّر العلماء لسنين،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q009,ما الذي ورد في النص في الفقرة رقم 9؟,بكتيريا، طحالب، شوية خلايا،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q010,ما الذي ورد في النص في الفقرة رقم 10؟,هياكل وأعضاء وحاجات معقدة،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q011,ما الذي ورد في النص في الفقرة رقم 11؟,رخويات، مفصليات،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q012,ما الذي ورد في النص في الفقرة رقم 12؟,اسمها الانفجار الكامبري،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q013,ما الذي ورد في النص في الفقرة رقم 13؟,أشكال معقدة من الحياة,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q014,ما الذي ورد في النص في الفقرة رقم 14؟,لا يوجد سبب واحد متفقين عليه,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q015,ما الذي ورد في النص في الفقرة رقم 15؟,إن فجأة كدا الأكسجين زاد.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q016,ما الذي ورد في النص في الفقرة رقم 16؟,إن سباق المفترس والفريسة,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q017,ما الذي ورد في النص في الفقرة رقم 17؟,إن غالبًا لمّا القارات اتفتت،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q018,ما الذي ورد في النص في الفقرة رقم 18؟,اللي ساعد في تكوين هذه الهياكل.,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q019,ما الذي ورد في النص في الفقرة رقم 19؟,سببه كان أرضي ولّا كوني؟,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q020,ما الذي ورد في النص في الفقرة رقم 20؟,دخلت أجسام الكائنات,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q021,ما الذي ورد في النص في الفقرة رقم 21؟,بيض اتشال على نيزك،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q022,ما الذي ورد في النص في الفقرة رقم 22؟,& Molecular Biology Journal،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q023,ما الذي ورد في النص في الفقرة رقم 23؟,اللي عايشين معانا، على حسب هذه الفرضية،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q024,ما الذي ورد في النص في الفقرة رقم 24؟,يعني انت بتقول في هذا البرنامج المحترم,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q025,ما الذي ورد في النص في الفقرة رقم 25؟,"إن الأخطبوط اللي عندنا Alien؟! كائن فضائي؟!""",Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q026,ما الذي ورد في النص في الفقرة رقم 26؟,"- ""أمّال يا (أبو حميد)؟!""",Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q027,ما الذي ورد في النص في الفقرة رقم 27؟,"الله! انت بتضحك عليا؟!""",Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q028,ما الذي ورد في النص في الفقرة رقم 28؟,اللي بأكلمك عليها دي، لم تكن دراسة تجريبية،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q029,ما الذي ورد في النص في الفقرة رقم 29؟,القطط الفطسانة،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q030,ما الذي ورد في النص في الفقرة رقم 30؟,ليسوا خبراء في هذا المجال،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q031,ما الذي ورد في النص في الفقرة رقم 31؟,"طرحت هذه الورقة بما إن تم تكذيبها؟!""",Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q032,ما الذي ورد في النص في الفقرة رقم 32؟,هي لماذا بعض العلماء،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q033,ما الذي ورد في النص في الفقرة رقم 33؟,كائن غريب جدًا جدًا،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q034,ما الذي ورد في النص في الفقرة رقم 34؟,"في ""شركة المرعبين المحدودة""،",Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q035,ما الذي ورد في النص في الفقرة رقم 35؟,كأنها وحوش فضائية،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q036,ما الذي ورد في النص في الفقرة رقم 36؟,كان الأخطبوط.,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q037,ما الذي ورد في النص في الفقرة رقم 37؟,إن فيه حيوانات تانية شكلها غريب،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q038,ما الذي ورد في النص في الفقرة رقم 38؟,لمّا نيجي نبص على الأخطبوط،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q039,ما الذي ورد في النص في الفقرة رقم 39؟,كنا فاكرينه كائن بسيط،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q040,ما الذي ورد في النص في الفقرة رقم 40؟,مع الأخطبوط دا على إنه لافقاريات بسيطة،,Medium
