video_id,video_title,question_id,question,answer,difficulty
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q001,ماذا ورد في هذا الموضع من النص؟,"أنا ""هَنا""، في خدمة سموّك.",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q002,ما الجملة المذكورة في هذا السياق؟,أن نستعين بخدماتك في Event.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q003,كيف صيغت العبارة هنا؟,"في ""طهران"" و""زايد""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q004,ما الذي قيل في هذا الجزء؟,بس انت عايز تزعّل الـEx طبعًا، صح؟,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,مذابح Planners تانيين،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q006,ماذا ورد في هذا الموضع من النص؟,بـAssassins أجانب ولّا محليين؟,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q007,ما الجملة المذكورة في هذا السياق؟,- آه، طبعًا،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q008,كيف صيغت العبارة هنا؟,"من برنامج ""الدحّيح""!",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q009,ما الذي قيل في هذا الجزء؟,في القرن السادس الميلادي،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,هنراقب قافلة تجارية بتعدّي الصحرا،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q011,ماذا ورد في هذا الموضع من النص؟,أقوى دولة في العالم وقتها،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q012,ما الجملة المذكورة في هذا السياق؟,"رايحة فين؟ رايحة ""اليمن""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q013,كيف صيغت العبارة هنا؟,"بلاد ""فارس"" كانت بتدعم ""اليمن""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q014,ما الذي قيل في هذا الجزء؟,"تحرر نفسها من قبضة ""الحبشة""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,"""إثيوبيا"" كانت بتحاول تبقى مستعمر!",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q016,ماذا ورد في هذا الموضع من النص؟,مجموعة من ظباط الفُرس المخضرمين،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q017,ما الجملة المذكورة في هذا السياق؟,من مكان لمكان تاني،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q018,كيف صيغت العبارة هنا؟,أكتر من قبيلة عربية،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q019,ما الذي قيل في هذا الجزء؟,"اللي هي الإقليم الجنوبي من بلاد ""فارس""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,"""النعمان""، مَلِك المناذرة،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q021,ماذا ورد في هذا الموضع من النص؟,"هتستلمها قبائل ""ربيعة""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q022,ما الجملة المذكورة في هذا السياق؟,"لحد ما توصل لـ""اليمامة""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q023,كيف صيغت العبارة هنا؟,من كل هذه الاحتياطات والماراثون التتابعي،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q024,ما الذي قيل في هذا الجزء؟,"على جنوب ""اليمامة"" بالظبط،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,بعد مقاومة ضعيفة جدًا،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q026,ماذا ورد في هذا الموضع من النص؟,والأساورة الفُرس,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q027,ما الجملة المذكورة في هذا السياق؟,المفروض أسأله دلوقتي، عشان أكملّك حبكتك،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q028,كيف صيغت العبارة هنا؟,تابعة لواحد من أقوى رجال العالم؟!,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q029,ما الذي قيل في هذا الجزء؟,"مش خايفين من بطش كسرى؟!""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q030,ما النص الحرفي المذكور في هذه الفقرة؟,كنت محتاجك فعلًا.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q031,ماذا ورد في هذا الموضع من النص؟,في اللحظة دي تحديدًا،,Easy
