video_id,video_title,question_id,question,answer,difficulty
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q001,ماذا ورد في هذا الموضع من النص؟,يبدو إني في آخر أيامي خلاص!,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q002,ما الجملة المذكورة في هذا السياق؟,ألف سلامة يا حاج! ألف سلامة!,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q003,كيف صيغت العبارة هنا؟,"اسمع يا ""أحمد"" يا ابني،",Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q004,ما الذي قيل في هذا الجزء؟,انت كبير العِيلة،,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,أنا سيبتلك قصر كبير،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q006,ماذا ورد في هذا الموضع من النص؟,ليك انت وإخواتك.,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q007,ما الجملة المذكورة في هذا السياق؟,"إيه؟! سيبتلنا إيه؟! قصر على ""النيل""؟!",Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q008,كيف صيغت العبارة هنا؟,"""نيل"" إيه يا بني آدم؟!",Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q009,ما الذي قيل في هذا الجزء؟,بقولّك: قصر كبير.,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,آه! أيوة، أيوة، أيوة،,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q011,ماذا ورد في هذا الموضع من النص؟,آسف يا بابا، معلش،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q012,ما الجملة المذكورة في هذا السياق؟,انت عارف، أنا بقالي فترة مش بسمع كويس.,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q013,كيف صيغت العبارة هنا؟,وبس كدا؟!,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q014,ما الذي قيل في هذا الجزء؟,ولا بَنطَق كويس،,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,ولا بقول جُمَل طويلة،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q016,ماذا ورد في هذا الموضع من النص؟,ولا بعرف أنطق كلمات ياباني، فرنساوي،,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q017,ما الجملة المذكورة في هذا السياق؟,ولا حتى عربي،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q018,كيف صيغت العبارة هنا؟,يعني، عندي مشاكل كتير، بصراحة.,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q019,ما الذي قيل في هذا الجزء؟,عاملّي بس فيها صانع محتوى،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,وماشي تكلملي نَفْسَك طول اليوم!,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q021,ماذا ورد في هذا الموضع من النص؟,يلّا يا فاشل!,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q022,ما الجملة المذكورة في هذا السياق؟,آه!,Medium
