video_id,video_title,question_id,question,answer,difficulty
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q001,في أي شهر وسنة تدور الأحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q002,ما اسم الطائرة المذكورة؟,أقدم لحضرتك فخر الطيران الأمريكي الـF-35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q003,في أي ولاية جرت التجربة؟,"في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q004,ما اسم الشركة المصنعة؟,"اسمها ""لوكهيد مارتن"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q005,لماذا كان المقدم متحمسًا؟,لأنه هيجرب الطيارة اللي هتغيّر العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q006,ما سبب صعوبة إسقاط الطائرة؟,الطيارة صعب جدًا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q007,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q008,ما اسم المقدم؟,"المقدم ""إيريك سميث"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q009,أين كان يقف المقدم؟,"وهو واقف في Hangar واسع في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q010,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقة بسنين ضوئية.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q011,في أي شهر وسنة تدور الأحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q012,ما اسم الطائرة المذكورة؟,أقدم لحضرتك فخر الطيران الأمريكي الـF-35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q013,في أي ولاية جرت التجربة؟,"في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q014,ما اسم الشركة المصنعة؟,"اسمها ""لوكهيد مارتن"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q015,لماذا كان المقدم متحمسًا؟,لأنه هيجرب الطيارة اللي هتغيّر العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q016,ما سبب صعوبة إسقاط الطائرة؟,الطيارة صعب جدًا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q017,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q018,ما اسم المقدم؟,"المقدم ""إيريك سميث"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q019,أين كان يقف المقدم؟,"وهو واقف في Hangar واسع في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q020,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقة بسنين ضوئية.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q021,في أي شهر وسنة تدور الأحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q022,ما اسم الطائرة المذكورة؟,أقدم لحضرتك فخر الطيران الأمريكي الـF-35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q023,في أي ولاية جرت التجربة؟,"في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q024,ما اسم الشركة المصنعة؟,"اسمها ""لوكهيد مارتن"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q025,لماذا كان المقدم متحمسًا؟,لأنه هيجرب الطيارة اللي هتغيّر العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q026,ما سبب صعوبة إسقاط الطائرة؟,الطيارة صعب جدًا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q027,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q028,ما اسم المقدم؟,"المقدم ""إيريك سميث"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q029,أين كان يقف المقدم؟,"وهو واقف في Hangar واسع في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q030,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقة بسنين ضوئية.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q031,في أي شهر وسنة تدور الأحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q032,ما اسم الطائرة المذكورة؟,أقدم لحضرتك فخر الطيران الأمريكي الـF-35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q033,في أي ولاية جرت التجربة؟,"في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q034,ما اسم الشركة المصنعة؟,"اسمها ""لوكهيد مارتن"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q035,لماذا كان المقدم متحمسًا؟,لأنه هيجرب الطيارة اللي هتغيّر العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q036,ما سبب صعوبة إسقاط الطائرة؟,الطيارة صعب جدًا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q037,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q038,ما اسم المقدم؟,"المقدم ""إيريك سميث"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q039,أين كان يقف المقدم؟,"وهو واقف في Hangar واسع في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q040,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقة بسنين ضوئية.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q041,في أي شهر وسنة تدور الأحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q042,ما اسم الطائرة المذكورة؟,أقدم لحضرتك فخر الطيران الأمريكي الـF-35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q043,في أي ولاية جرت التجربة؟,"في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q044,ما اسم الشركة المصنعة؟,"اسمها ""لوكهيد مارتن"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q045,لماذا كان المقدم متحمسًا؟,لأنه هيجرب الطيارة اللي هتغيّر العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q046,ما سبب صعوبة إسقاط الطائرة؟,الطيارة صعب جدًا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q047,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q048,ما اسم المقدم؟,"المقدم ""إيريك سميث"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q049,أين كان يقف المقدم؟,"وهو واقف في Hangar واسع في ولاية ""تكساس"".",Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q050,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقة بسنين ضوئية.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q051,في أي شهر وسنة تدور الأحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
