video_id,video_title,question_id,question,answer,difficulty
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q001,ماذا ورد في هذا الموضع من النص؟,"أخبار ترميم لوحة ""نابليون"" إيه؟",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q002,ما الجملة المذكورة في هذا السياق؟,يبقى نُص جسمه بطة؟,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q003,كيف صيغت العبارة هنا؟,"ما لهاش إجابة يا حضرة الـ""هير (هانز)"".",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q004,ما الذي قيل في هذا الجزء؟,"بتاعة البطة على ""نابليون بونابرت""،",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,- أيوة...,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q006,ماذا ورد في هذا الموضع من النص؟,أستأذنك في حاجة،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q007,ما الجملة المذكورة في هذا السياق؟,يعني، مش لطيف.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q008,كيف صيغت العبارة هنا؟,- إيه؟ حرامي.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q009,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمة الله وبركاته،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,"من برنامج ""الدحّيح""!",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q011,ماذا ورد في هذا الموضع من النص؟,خلّيني آخدك من إيدك ونطلع على 1813،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q012,ما الجملة المذكورة في هذا السياق؟,"لحد ما نوصل لـ""أسوان""،",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q013,كيف صيغت العبارة هنا؟,"مستكشف سويسري اسمه ""يوهان بوركهارت""،",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q014,ما الذي قيل في هذا الجزء؟,طالعة من وسط الرملة.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,إن هو يدخل بسبب الرمل،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q016,ماذا ورد في هذا الموضع من النص؟,اللي يسمحوله إنه يحفر في المكان دا،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q017,ما الجملة المذكورة في هذا السياق؟,ملاحظاته الدقيقة على اللي شافه.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q018,كيف صيغت العبارة هنا؟,من أهم مستكشفي القرن الـ19.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q019,ما الذي قيل في هذا الجزء؟,ضرب على حتتين آثار،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,"لجمع الآثار لمتاحف ""أوروبا""،",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q021,ماذا ورد في هذا الموضع من النص؟,"واخدين، يا عزيزي، تُمن ""طيبة"".",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q022,ما الجملة المذكورة في هذا السياق؟,وصرف فلوس كتير جدًا على عمليات الحفر،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q023,كيف صيغت العبارة هنا؟,ما لقاش كنوز ولا دهب.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q024,ما الذي قيل في هذا الجزء؟,"كشّطهم ولّا إيه؟!""",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,واقف قُدّام تماثيل ضخمة،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q026,ماذا ورد في هذا الموضع من النص؟,ويُنسب هذا الفضل ليا،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q027,ما الجملة المذكورة في هذا السياق؟,أروح آخدها أبيعها لـ(المتحف الإنجليزي),Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q028,كيف صيغت العبارة هنا؟,بس أنا عايز أسلّكلي مسخوطين!,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q029,ما الذي قيل في هذا الجزء؟,قعد ياخد كل اللي يقدر عليه،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q030,ما النص الحرفي المذكور في هذه الفقرة؟,اللي كانت موجودة في المعبد أو غيره.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q031,ماذا ورد في هذا الموضع من النص؟,ما كانش بيعرف يقرا هيروغليفي أصلًا،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q032,ما الجملة المذكورة في هذا السياق؟,إن المعبد نفسه هو الكنز،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q033,كيف صيغت العبارة هنا؟,ممكن يخلّد اسمه،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q034,ما الذي قيل في هذا الجزء؟,ويوثّقوا نقوشه،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q035,ما النص الحرفي المذكور في هذه الفقرة؟,"للعالم ""فرانسوا شامبليون""،",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q036,ماذا ورد في هذا الموضع من النص؟,مع هذه الكتابات والرموز لمدة 3 سنين،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q037,ما الجملة المذكورة في هذا السياق؟,ويقدّمها للعالم.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q038,كيف صيغت العبارة هنا؟,العالِم وليس الشارع، عشان فيه ناس بتتلخبط،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q039,ما الذي قيل في هذا الجزء؟,"دا فيه 4 أدوار ""أبو طارق""!",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q040,ما النص الحرفي المذكور في هذه الفقرة؟,إن فك رموز المعبد طفرة، اكتشاف عظيم،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q041,ماذا ورد في هذا الموضع من النص؟,"اللي مكتوب على جدران ""أبو سمبل""،",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q042,ما الجملة المذكورة في هذا السياق؟,عشان يأكد نظريته،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q043,كيف صيغت العبارة هنا؟,الحكومة المصرية بتواجه معضلة،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q044,ما الذي قيل في هذا الجزء؟,موجودة فوق واجهة المعبد.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q045,ما النص الحرفي المذكور في هذه الفقرة؟,من المهندسين المَلَكيين البريطانيين,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q046,ماذا ورد في هذا الموضع من النص؟,ويعملوا جدران تبطّأ من زحف الرمال.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q047,ما الجملة المذكورة في هذا السياق؟,إلى مشروع ضخم بتقوده وزارة الآثار،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q048,كيف صيغت العبارة هنا؟,لأول مرة من آلاف السنين،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q049,ما الذي قيل في هذا الجزء؟,"إن ظنون ""جيوفاني"" كانت صح،",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q050,ما النص الحرفي المذكور في هذه الفقرة؟,"لتخليد مَلِك عظيم اسمه ""رمسيس التاني"".",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q051,ماذا ورد في هذا الموضع من النص؟,"من أعظم ملوك ""مصر"" القديمة،",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q052,ما الجملة المذكورة في هذا السياق؟,بالحروب والانتصارات،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q053,كيف صيغت العبارة هنا؟,اللي قادها ضد الحيثيين،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q054,ما الذي قيل في هذا الجزء؟,بأول معاهدة سلام مكتوبة في التاريخ.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q055,ما النص الحرفي المذكور في هذه الفقرة؟,كانت نهايتها شِبه متعادلة،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q056,ماذا ورد في هذا الموضع من النص؟,زي ما انت واخد بالك كدا،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q057,ما الجملة المذكورة في هذا السياق؟,في الـMedia، ترامبي الطبع،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q058,كيف صيغت العبارة هنا؟,"الابن اللي الأرض والشمس بيخضعوله.""",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q059,ما الذي قيل في هذا الجزء؟,"لمّا بيقرر إن هو يبني ""أبو سمبل""",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q060,ما النص الحرفي المذكور في هذه الفقرة؟,"يقرب من حدود ""مصر""،",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q061,ماذا ورد في هذا الموضع من النص؟,- إيه؟!,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q062,ما الجملة المذكورة في هذا السياق؟,"اللي انت عمّال تتكلم عنه دا.""",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q063,كيف صيغت العبارة هنا؟,"لمّا بنتكلم عن ""أبو سمبل""، بنقصد معبدين،",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q064,ما الذي قيل في هذا الجزء؟,"""الأقصر"" و""أسوان"" حتة واحدة!",Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q065,ما النص الحرفي المذكور في هذه الفقرة؟,"المعبد بتاع ""رمسيس التاني""،",Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q066,ماذا ورد في هذا الموضع من النص؟,لأن كل تفصيلة لها دلالتها.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q067,ما الجملة المذكورة في هذا السياق؟,"بنشوف مكتوب ألقاب ""رمسيس التاني"".",Easy
