video_id,video_title,question_id,question,answer,difficulty
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q001,ماذا ورد في النص حول هذه الجزئية؟,والساموزين والسامو عليكم!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q002,ما الجملة المذكورة في هذا الموضع؟,من كل مَن حرمه من حلم الساموراي...,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q003,كيف صيغت العبارة في النص؟,السلام عليكم ورحمة الله وبركاته،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q004,ما الذي قيل في هذا السياق؟,"من برنامج ""الدحّيح""!",Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q005,ما النص الحرفي المذكور هنا؟,خلّيني آخدك مش لمكان واحد،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q006,ماذا ورد في النص حول هذه الجزئية؟,تعود إلى عائلات ساموراي كبيرة،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q007,ما الجملة المذكورة في هذا الموضع؟,منتظرين حُكم الإعدام،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q008,كيف صيغت العبارة في النص؟,من حَد بيحصلّه هذا الحُكم,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q009,ما الذي قيل في هذا السياق؟,بل كان بيخططلها.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q010,ما النص الحرفي المذكور هنا؟,عشان تستقبل هذا الحدث،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q011,ماذا ورد في النص حول هذه الجزئية؟,بأكتر طريقة شريفة ممكنة،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q012,ما الجملة المذكورة في هذا الموضع؟,وبدون تردد أو أي طلب للعفو،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q013,كيف صيغت العبارة في النص؟,"إن ""شرفي أهم من حياتي.""",Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q014,ما الذي قيل في هذا السياق؟,مشهد موت الرجالة دُول هيُخلّد للأبد،,Medium
