video_id,video_title,question_id,question,answer,difficulty
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q001,ماذا ورد في هذا الموضع من النص؟,دي كل الاحداثيات اللي معانا وملخص للبعثه,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q002,ما الجملة المذكورة في هذا السياق؟,اكتشفته قبل ما تيجي لا لا البعثه,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q003,كيف صيغت العبارة هنا؟,[موسيقى] الاستكشافيه اللي قدامي دي بايظه,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q004,ما الذي قيل في هذا الجزء؟,خالص المؤن مضروبه والاتجاهات بايظه انا,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,عايز اعرف مين المستكشف الحمار اللي كان,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q006,ماذا ورد في هذا الموضع من النص؟,شغال قبلي,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q007,ما الجملة المذكورة في هذا السياق؟,>> الجنرال ارثر الله يرحمه قبل ما التمساح,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q008,كيف صيغت العبارة هنا؟,يعمله بوفتيك,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q009,ما الذي قيل في هذا الجزء؟,>> مبدئيا البوصله دي كارفه شمال شرق ممكن,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,اجيب لكم حاجه من عندي باستعمال خفيف بس,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q011,ماذا ورد في هذا الموضع من النص؟,هتكلفكم,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q012,ما الجملة المذكورة في هذا السياق؟,>> ماشي هات ونحاسبك,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q013,كيف صيغت العبارة هنا؟,والخريطه دي هندي فرز تاني حتى طعمها,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q014,ما الذي قيل في هذا الجزء؟,تشيكن تيك مسله انا ما بشتغلش غير بخرايط,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,فرنساوي فرز اول مؤاخذه عندكم يا سيدي ما,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q016,ماذا ورد في هذا الموضع من النص؟,عندناش هات ونبقى نحاسبك عندكم سكان,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q017,ما الجملة المذكورة في هذا السياق؟,اصليين نستغلهم ونستعبدهم ولا بعد الصبي,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q018,كيف صيغت العبارة هنا؟,بتاعي يجيب,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q019,ما الذي قيل في هذا الجزء؟,>> لا لا دول عندنا في الفريزر كتير بحيث كده,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,بقى انا عايز كوبايه انجلش تي ايرلي جراي,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q021,ماذا ورد في هذا الموضع من النص؟,انج تقيل ونبدا على بركه الله وبقوللك,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q022,ما الجملة المذكورة في هذا السياق؟,طبقيص,Medium
