video_id,video_title,question_id,question,answer,difficulty
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q001,ماذا ورد في هذا الموضع من النص؟,"افتح موضوع جديد يا ""ميدو""، أنا مش ناقص!",Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q002,ما الجملة المذكورة في هذا السياق؟,وبعد كدا، هتنطفي هي كمان.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q003,كيف صيغت العبارة هنا؟,- أيوة.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q004,ما الذي قيل في هذا الجزء؟,- عشان كُل حاجة بتنتهي.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,- عشان الفيزيا بتقول كدا.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q006,ماذا ورد في هذا الموضع من النص؟,- عشان الفيزيا رياضة تطبيقية،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q007,ما الجملة المذكورة في هذا السياق؟,والفلاسفة قالوا كدا.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q008,كيف صيغت العبارة هنا؟,- عشان كانوا فاضيين وفي (اليونان) و...,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q009,ما الذي قيل في هذا الجزء؟,- عشان الأحياء بتسمع كلام الفيزيا برضه.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,- هش!,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q011,ماذا ورد في هذا الموضع من النص؟,دي قوانين فيزيا، الواد ما بقاش صغير.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q012,ما الجملة المذكورة في هذا السياق؟,ما تكلمش الولد على الفناء الكوني!,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q013,كيف صيغت العبارة هنا؟,السلام عليكم ورحمة الله وبركاته،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q014,ما الذي قيل في هذا الجزء؟,"من برنامج ""الدحّيح""!",Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,إحدى أشهر الجداريات في تاريخ الفن،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q016,ماذا ورد في هذا الموضع من النص؟,في بداية القرن الـ16،,Medium
