video_id,video_title,question_id,question,answer,difficulty
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q001,ماذا ورد في هذا الموضع من النص؟,"هو اللي قالّي: ""نُط""، هنُط.",Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q002,ما الجملة المذكورة في هذا السياق؟,إنك تموت معانا يا رأسمالي يا سفيه!,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q003,كيف صيغت العبارة هنا؟,- أيوة. اطردوه برة.,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q004,ما الذي قيل في هذا الجزء؟,artificial sweeteners،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,السلام عليكم ورحمة الله وبركاته،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q006,ماذا ورد في هذا الموضع من النص؟,"من برنامج ""الدحّيح""!",Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q007,ما الجملة المذكورة في هذا السياق؟,وحاول ما تندمش إن انت ادّتني إيدك المرادي،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q008,كيف صيغت العبارة هنا؟,في أعماق إحدى الغابات الاستوائية،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q009,ما الذي قيل في هذا الجزء؟,واقفة في صف طويل جدًا من الناس،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,وهُما ماسكين كوبايات،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q011,ماذا ورد في هذا الموضع من النص؟,اللي لابس نضارة سودا،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q012,ما الجملة المذكورة في هذا السياق؟,على كرسي كأنه عرش،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q013,كيف صيغت العبارة هنا؟,قامت الناس رافعة الكوبايات اللي كان فيهم سِم،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q014,ما الذي قيل في هذا الجزء؟,وزي ما شُفنا، أطفال،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,صوت الغابة بيرجع يعلى من تاني،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q016,ماذا ورد في هذا الموضع من النص؟,وكان موجود على العرش، وانتحر،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q017,ما الجملة المذكورة في هذا السياق؟,من أكبر عمليات الانتحار الجماعي في التاريخ.,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q018,كيف صيغت العبارة هنا؟,مش ازاي كل دُول ماتوا،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q019,ما الذي قيل في هذا الجزء؟,وافقوا بإرادتهم الحُرة,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,كانت إجابته بسيطة جدًا،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q021,ماذا ورد في هذا الموضع من النص؟,"على حسب قاموس ""ويبستر""،",Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q022,ما الجملة المذكورة في هذا السياق؟,ليها عقائد أو ممارسات,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q023,كيف صيغت العبارة هنا؟,معزولة وهي بتشرب السِم,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q024,ما الذي قيل في هذا الجزء؟,"يطيعوا قائد بعينه؟!""",Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,بفكر إن أنا يبقى عندي cult صغير،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q026,ماذا ورد في هذا الموضع من النص؟,"ويقول: ""نفسي أنتمي لطائفة،",Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q027,ما الجملة المذكورة في هذا السياق؟,مش بتقدّم نفسها كمشروع للموت،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q028,كيف صيغت العبارة هنا؟,اللي موجودة في حياتنا،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q029,ما الذي قيل في هذا الجزء؟,اللي بيلعب على احتياج الناس،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q030,ما النص الحرفي المذكور في هذه الفقرة؟,احتياجك للانتماء،,Medium
