video_id,video_title,question_id,question,answer,difficulty
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q001,ماذا ورد في هذا الموضع من النص؟,- يا سلام! وإيه بقى اللي حصل؟,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q002,ما الجملة المذكورة في هذا السياق؟,إيه الطلقة الواحدة اللي تقتل جوزي,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q003,كيف صيغت العبارة هنا؟,في كل الناس، ولّا إيه؟!,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q004,ما الذي قيل في هذا الجزء؟,وانتي بتهربي من العربية لمّا اتضرب بالنار.,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,"متعدّلة بالـ""فوتوشوب""!",Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q006,ماذا ورد في هذا الموضع من النص؟,الجهاز الفاشل المجنون المُهزّأ بالشكل دا!,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q007,ما الجملة المذكورة في هذا السياق؟,ييجي ينقذ الموقف اللي احنا فيه؟!,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q008,كيف صيغت العبارة هنا؟,السلام عليكم ورحمة الله وبركاته،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q009,ما الذي قيل في هذا الجزء؟,"من برنامج ""الدحّيح""!",Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,تعالى نقف من بعيد، نتفرج من بعيد،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q011,ماذا ورد في هذا الموضع من النص؟,"وفين؟ في ""دالاس""، ""تكساس""،",Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q012,ما الجملة المذكورة في هذا السياق؟,"في موكب ""ديلي بلازا""،",Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q013,كيف صيغت العبارة هنا؟,وسط تصفيق وهتافات من الجمهور،,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q014,ما الذي قيل في هذا الجزء؟,اللي كان وقتها في عز شعبيته،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,"في ""ليموزين"" مكشوفة، ولا اللي بتنقل عزالها،",Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q016,ماذا ورد في هذا الموضع من النص؟,هذا المشهد المثالي بينهار أمامنا،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q017,ما الجملة المذكورة في هذا السياق؟,بنشوف طلقة، والتانية، وأخيرًا التالتة،,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q018,كيف صيغت العبارة هنا؟,بعد تقريبًا نُص ساعة،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q019,ما الذي قيل في هذا الجزء؟,"بيخرج ""والتر كرونكايت""",Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,إنها قبضت على المشتبه فيه الأول،,Medium
