video_id,video_title,question_id,question,answer,difficulty
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q001,ماذا ورد في هذا الموضع من النص؟,الوضع بقى معقد جدًا بشكل استثنائي،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q002,ما الجملة المذكورة في هذا السياق؟,ما حدش محتاج يتحرك.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q003,كيف صيغت العبارة هنا؟,- كل حاجة بتيجي لحد البيت،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q004,ما الذي قيل في هذا الجزء؟,ويقوم يشوف رزقه؟,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,على الـFaceTime،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q006,ماذا ورد في هذا الموضع من النص؟,عشان نقدر نقعد في حتة.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q007,ما الجملة المذكورة في هذا السياق؟,الإنسان عشان يطلّع عضلات، ممكن ياخد حبوب،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q008,كيف صيغت العبارة هنا؟,وسيب الزفت اللي في إيدك!,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q009,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمة الله وبركاته،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,"من برنامج ""الدحّيح""!",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q011,ماذا ورد في هذا الموضع من النص؟,- حوضك، افتحه دلوقتي حالًا!,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q012,ما الجملة المذكورة في هذا السياق؟,إلى زاوية مستقيمة، اتصرّف!,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q013,كيف صيغت العبارة هنا؟,قبل قرون من الميلاد.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q014,ما الذي قيل في هذا الجزء؟,"بيُطلق عليهم اسم ""الطبيعيين الأوائل""،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,اللي وراهم واللي قُدّامهم،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q016,ماذا ورد في هذا الموضع من النص؟,"زي ""أنكسيمناس""،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q017,ما الجملة المذكورة في هذا السياق؟,"أنا شايف إن هو النار.""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q018,كيف صيغت العبارة هنا؟,تم توثيقها لسبب ما،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q019,ما الذي قيل في هذا الجزء؟,فيه فكرة بتجمّعهم،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,من صلب لسائل لغاز،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q021,ماذا ورد في هذا الموضع من النص؟,"""فيه حاجة اسمها التسامي، ممكن ترد مرحلة.""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q022,ما الجملة المذكورة في هذا السياق؟,دايمًا في حركة مستمرة.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q023,كيف صيغت العبارة هنا؟,فاختار النار كأصل للعالم،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q024,ما الذي قيل في هذا الجزء؟,بسبب حركتها المجنونة والمستمرة،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,هي عصب الوجود بالكامل.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q026,ماذا ورد في هذا الموضع من النص؟,إن جهازنا العصبي تطور بالأساس,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q027,ما الجملة المذكورة في هذا السياق؟,أكتر من عملية التفكير،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q028,كيف صيغت العبارة هنا؟,كانت أساسًا بتتحرك.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q029,ما الذي قيل في هذا الجزء؟,في الخطر المستخبي ورا الأشجار،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q030,ما النص الحرفي المذكور في هذه الفقرة؟,ويعرف إيه الهجوم اللي جاي عليه،,Medium
