video_id,video_title,question_id,question,answer,difficulty
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q001,ماذا ورد في هذا الموضع من النص؟,- إيه؟!,Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q002,ما الجملة المذكورة في هذا السياق؟,ما تعرفش أولها من آخرها.,Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q003,كيف صيغت العبارة هنا؟,كل امتيازات ورفاهية المُلك ازاي!,Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q004,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمة الله وبركاته،,Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,"من برنامج ""الدحّيح""!",Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q006,ماذا ورد في هذا الموضع من النص؟,تعالى نفتح مع بعض كتاب...,Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q007,ما الجملة المذكورة في هذا السياق؟,كما يصف نفسه يعني،,Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q008,كيف صيغت العبارة هنا؟,"أكيد بيتمنى من ربنا (أوكرانيا).""",Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q009,ما الذي قيل في هذا الجزء؟,"بيتخيل ""بوتين"" بيسأل ربنا،",Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,تفصيلة جغرافية في الخريطة؟,Medium
